step,actic loss,critic loss,average distance,time
1320,-5.2874,1.9195,5.5073,0min5sec
1330,-5.2483,1.9063,5.4977,0min5sec
1340,-5.2101,1.8934,5.4881,0min5sec
1350,-5.1720,1.8806,5.4788,0min5sec
1360,-5.1348,1.8680,5.4695,0min5sec
1370,-5.0974,1.8556,5.4605,0min5sec
1380,-5.0611,1.8434,5.4516,0min5sec
1390,-5.0250,1.8314,5.4427,0min5sec
1400,-4.9899,1.8195,5.4339,0min5sec
1410,-4.9545,1.8078,5.4253,0min5sec
1420,-4.9201,1.7963,5.4168,0min5sec
1430,-4.8865,1.7850,5.4086,0min5sec
1440,-4.8530,1.7737,5.4003,0min5sec
1450,-4.8201,1.7626,5.3920,0min5sec
1460,-4.7877,1.7517,5.3839,0min5sec
1470,-4.7559,1.7410,5.3760,0min5sec
1480,-4.7244,1.7304,5.3681,0min5sec
1490,-4.6932,1.7198,5.3602,0min5sec
1500,-4.6625,1.7095,5.3524,0min5sec
1510,-4.6321,1.6992,5.3448,0min5sec
1520,-4.6019,1.6892,5.3374,0min5sec
1530,-4.5723,1.6792,5.3300,0min5sec
1540,-4.5429,1.6695,5.3227,0min5sec
1550,-4.5147,1.6600,5.3155,0min5sec
1560,-4.4860,1.6505,5.3082,0min5sec
1570,-4.4582,1.6410,5.3010,0min5sec
1580,-4.4302,1.6317,5.2940,0min5sec
1590,-4.4028,1.6226,5.2871,0min5sec
1600,-4.3758,1.6134,5.2801,0min5sec
1610,-4.3495,1.6044,5.2733,0min5sec
1620,-4.3231,1.5955,5.2665,0min5sec
1630,-4.2972,1.5867,5.2598,0min5sec
1640,-4.2712,1.5780,5.2533,0min5sec
1650,-4.2457,1.5694,5.2470,0min5sec
1660,-4.2206,1.5610,5.2407,0min5sec
1670,-4.1958,1.5526,5.2344,0min5sec
1680,-4.1715,1.5443,5.2283,0min5sec
1690,-4.1473,1.5361,5.2223,0min5sec
1700,-4.1236,1.5282,5.2165,0min5sec
1710,-4.0998,1.5202,5.2104,0min5sec
1720,-4.0767,1.5124,5.2046,0min5sec
1730,-4.0535,1.5046,5.1989,0min5sec
1740,-4.0304,1.4968,5.1932,0min5sec
1750,-4.0078,1.4892,5.1876,0min5sec
1760,-3.9856,1.4816,5.1822,0min5sec
1770,-3.9636,1.4742,5.1767,0min5sec
1780,-3.9418,1.4668,5.1713,0min5sec
1790,-3.9204,1.4595,5.1658,0min5sec
1800,-3.8991,1.4523,5.1603,0min5sec
1810,-3.8778,1.4451,5.1549,0min5sec
1820,-3.8570,1.4380,5.1495,0min5sec
1830,-3.8364,1.4310,5.1442,0min5sec
1840,-3.8161,1.4241,5.1390,0min5sec
1850,-3.7956,1.4173,5.1341,0min5sec
1860,-3.7758,1.4106,5.1290,0min5sec
1870,-3.7559,1.4040,5.1238,0min5sec
1880,-3.7364,1.3973,5.1186,0min5sec
1890,-3.7170,1.3908,5.1138,0min5sec
1900,-3.6978,1.3845,5.1091,0min5sec
1910,-3.6786,1.3781,5.1042,0min5sec
1920,-3.6597,1.3718,5.0995,0min5sec
1930,-3.6412,1.3656,5.0948,0min5sec
1940,-3.6228,1.3593,5.0900,0min5sec
1950,-3.6045,1.3532,5.0854,0min5sec
1960,-3.5863,1.3471,5.0809,0min5sec
1970,-3.5684,1.3410,5.0763,0min5sec
1980,-3.5508,1.3350,5.0717,0min5sec
